"Timestamp"	"Identifier"	"State"	"Binary_State"	"Providers"
"1"	0	"3dc84cd80d51dfccf3bded48f7bdb362"	"up"	1	1
"134"	1814	"db2fdbcf129030b6d1e0ef03c829b7c4"	"down"	-1	132
"139"	3629	"c578440f256e459bee980932138ab1ff"	"up"	1	133
"147"	5444	"fe3c03f5a501893ce2f5cc878e744e97"	"down"	-1	131
"153"	7259	"e6ad3768c2a946b22eec978a5e85bb6b"	"up"	1	137
"161"	9077	"49610661fec18f4fbbbd72c0a9b2e9c0"	"up"	1	137
"171"	10892	"1a4c116aec3ad00f0f3b22df2ecff0f3"	"up"	1	141
"180"	12709	"4be5d0fa7e5b98b695cbcbc52b610443"	"down"	-1	146
"232"	12840	"4be5d0fa7e5b98b695cbcbc52b610443"	"up"	1	98
"281"	13517	"b0e1403fd57888e73128158e0f68562f"	"up"	1	147
"778"	13611	"cc85a0bba78404c598e64072046ca3cb"	"down"	-1	404
"780"	13929	"dff1be082a96c39af5b4697be68e4b1f"	"up"	1	406
"1744"	15797	"b4e7f3830df82a355ffaa1612713cf70"	"up"	1	806
"1790"	17665	"bb1e7a3c153cfb100df472d49ce6d596"	"up"	1	822
"1855"	19513	"55fb8fd39acd6163ce29f5803d874359"	"down"	-1	837
"1901"	21381	"f3b9d1f3f39cf0cbff0169a178f814f2"	"down"	-1	839
"1959"	23230	"ab1c733c2b175817594c1f9e023e7d87"	"up"	1	855
"2015"	25078	"cbaa4baa45928afd7c321522a8abbcfb"	"down"	-1	861
"2056"	26925	"61893d6a5037340ced339f4bfd2edcbe"	"up"	1	870
"2111"	28774	"3dc84cd80d51dfccf3bded48f7bdb362"	"down"	-1	865
"2175"	30641	"3c5cb8d57374fcb827fc8009ee534962"	"up"	1	875
"2227"	32508	"cbaa4baa45928afd7c321522a8abbcfb"	"up"	1	873
"2273"	34356	"3dc84cd80d51dfccf3bded48f7bdb362"	"up"	1	883
"2317"	36204	"99a8e3575b7fe1bcce5a10b5f3b7eae3"	"up"	1	885
"2389"	38052	"580ee455fc92872c7ee9192baa126780"	"up"	1	909
"2461"	39901	"062cc228c60a158e8133f77985116907"	"up"	1	927
"2513"	41749	"b4e7f3830df82a355ffaa1612713cf70"	"down"	-1	923
"2588"	43597	"cbaa4baa45928afd7c321522a8abbcfb"	"up"	1	932
"2664"	45465	"c5cd54814ef2efc1f10b4ce1b0dae48b"	"down"	-1	924
"2731"	47313	"ab1c733c2b175817594c1f9e023e7d87"	"down"	-1	927
"2802"	49161	"b0e1403fd57888e73128158e0f68562f"	"down"	-1	934
"2881"	51010	"b0e1403fd57888e73128158e0f68562f"	"up"	1	915
"2954"	52858	"b0e1403fd57888e73128158e0f68562f"	"down"	-1	912
"3030"	54706	"b0e1403fd57888e73128158e0f68562f"	"up"	1	916
"3094"	56554	"6299f1d02492d97cee783e1cc4fef2a8"	"down"	-1	906
"3148"	56660	"062cc228c60a158e8133f77985116907"	"down"	-1	884
"3166"	58511	"722c5b3b81f0d6cdbf74eca98c517895"	"up"	1	896
"3229"	58692	"b0e1403fd57888e73128158e0f68562f"	"down"	-1	879
"3250"	60300	"b0e1403fd57888e73128158e0f68562f"	"up"	1	874
"3296"	62528	"3dc84cd80d51dfccf3bded48f7bdb362"	"up"	1	862
"3370"	64504	"58a9ea77b955b71eda547132ccabc5d2"	"down"	-1	838
"3606"	65319	"b0e1403fd57888e73128158e0f68562f"	"down"	-1	622
"3894"	65528	"b0e1403fd57888e73128158e0f68562f"	"up"	1	578
"4152"	65587	"cbaa4baa45928afd7c321522a8abbcfb"	"up"	1	632
"4306"	65650	"1dcfbfab66ad7a52e4023a80e66aa727"	"up"	1	778
"4310"	67499	"062cc228c60a158e8133f77985116907"	"down"	-1	778
"4361"	69349	"3c5cb8d57374fcb827fc8009ee534962"	"down"	-1	747
"4408"	71197	"e73ede89ba672abe1ee12342a4135e15"	"down"	-1	736
"4439"	73047	"0d674e93db229b393a1607a6ec34bdba"	"down"	-1	725
"4473"	74895	"927c2ea3cd0c3427604e8331d412bfe0"	"down"	-1	713
"4507"	76745	"5ce7d69d06412fbcb49c362a18e666d8"	"down"	-1	709
